unit_type,phylo_group,broad_family,branch_class,terminal_snp_norm,surname_id,slava_id,region_id,location_id,lat,long
location_terminal,E,non_I2,Founder,E-Z1057,Букарица,Аранђеловдан,Далмација,Лишане Тињске/Бенковац,44.0333553,15.6128513
location_terminal,E,non_I2,Founder,E-Z1057,Булатовић,Лучиндан,Брда,Лијешње/Колашин,42.7726174,19.3177209
location_terminal,E,non_I2,Founder,E-Z1057,Миљковић,Алимпијевдан,Косово,Ловац/Звечан,42.9617891,20.7636038
location_terminal,R1a,non_I2,Founder,L1029,Николић,Никољдан,Североисточна Босна,Лозна/Бановићи,44.4376937,18.3498309
location_terminal,PH908_primary,PH908_family,Relic,Y59595,Кузмановић,Св. Врачи,Североисточна Босна,Лозна/Бановићи,44.4376937,18.3498309
location_terminal,R1a,non_I2,Founder,L1029,Стефановић,Ђурђиц,Расина,Лознац/Алексинац,43.4642398,21.6035527
location_terminal,R1a,non_I2,Founder,FT288648,Видаковић,Никољдан,Мачва,Лозница,44.5309221,19.2237478
location_terminal,J2,non_I2,Founder,J-Y22059,Николић,Аранђеловдан,Североисточна Босна,Лозница/Братунац,44.1418662,19.4082391
location_terminal,E,non_I2,Founder,E-PH1395,Грујовић,Аранђеловдан,Стари Влах,Лозница/Чачак,43.8669804,20.3318977
location_terminal,PH908_map_nonprimary,PH908_family,Relic,MF4021,Лазовић,Никољдан,Стари Влах,Лозница/Чачак,43.8669804,20.3318977
location_terminal,R1b,non_I2,Founder,BY38894,Марковић,Никољдан,Шумадија,Лозовик/Велика Плана,44.4677494,21.1007233
location_terminal,G,non_I2,Founder,G-Y128480,Радојковић,Никољдан,Шумадија,Лозовик/Велика Плана,44.4677494,21.1007233
location_terminal,R1a,non_I2,Founder,L1029,Бабић,Јовањдан,Херцеговина,Локве/Чапљина,43.1528752,17.8242673
location_terminal,R1a,non_I2,Founder,L1029,Накић,Никољдан,Врањско Поморавље,Лопардинце/Бујановац,42.4985124,21.7737998
location_terminal,E,non_I2,Founder,E-PH1395,Милошевић,Аранђеловдан,Брда,Лопате/Лијева Ријека,43.8143079,18.3251677
location_terminal,E,non_I2,Founder,E-PH1395,Милошевић,Аранђеловдан,Брда,Лопате/Подгорица,42.6550548,19.4853512
location_terminal,I1,non_I2,Founder,FGC22061,Кустурић,Алимпијевдан,Стари Влах,Лопаш/Пожега,43.8053585,20.1239919
location_terminal,I1,non_I2,Founder,FTA86559,Јанковић,Никољдан,Стари Влах,Лопаш/Пожега,43.8053585,20.1239919
location_terminal,J2,non_I2,Founder,J-Y155375,Поповић,Никољдан,Стари Влах,Лопаш/Пожега,43.8053585,20.1239919
location_terminal,R1b,non_I2,Relic,Y175368,Живановић,Велика Госпојина,Стари Влах,Лопаш/Пожега,43.8053585,20.1239919
location_terminal,Y3120_deep_mid_nonPH908,nonPH908_I2,Founder,Z17855,Рајаковић,Алимпијевдан,Стари Влах,Лопаш/Пожега,43.8053585,20.1239919
location_terminal,R1a,non_I2,Founder,Z280,Мирчетић,Јовањдан,Стари Влах,Лопаш/Пожега,43.8053585,20.1239919
location_terminal,J2,non_I2,Relic,J-Y22069,Батоћанин,Стевањдан,Расина,Лопаш/Трстеник,43.5769422,21.0781372
location_terminal,PH908_map_nonprimary,PH908_family,Founder,Y4882,Ковач,Јовањдан,Херцеговина,Лопоч/Сливница Бобани/Равно,42.7742557,18.0754271
location_terminal,R1a,non_I2,Founder,Y189493,Стојановић,Никољдан,Стари Влах,Лочевци/Горњи Милановац,44.0522841,20.3516323
location_terminal,E,non_I2,Founder,E-FT178289,Петровић,Јовањдан,Мачва,Лоњин/Љубовија,44.2225382,19.3520244
location_terminal,J2,non_I2,Founder,J-L70,Јовановић,Аранђеловдан,Шумадија,Лоћика/Рековац,43.8578945,21.1867475
location_terminal,E,non_I2,Founder,E-Z13591,Томашевић,Петковдан,Брда,Лубово/Даниловград,44.3083701,17.0584936
location_terminal,PH908_primary,PH908_family,Founder,FT16449,Дучић,Ђурђевдан,Херцеговина,Луг/Требиње,42.7714001,18.2193084
location_terminal,E,non_I2,Relic,E-BY154448,Томашевић,Петковдан,Западни Банат,Луговет/Соколовац,45.7021072,18.7957333
