target_relic_rate,target_founder_rate,control_relic_rate,control_founder_rate,target_relic_n,target_founder_n,control_relic_n,control_founder_n,target_relic_yes,target_founder_yes,control_relic_yes,control_founder_yes,target_relic_minus_founder,control_relic_minus_founder,did_lift,unit_type,target_name,control_set,feature,feature_type
0.6097560975609756,0.41935483870967744,0.6379310344827587,0.7087837837837838,82,403,232,1480,50,169,148,1049,0.19040125885129816,-0.07085274930102514,0.2612540081523233,cluster,PH908_primary,non_I2_excl_R1a,geography_plus_suffix_ic,binary
0.32926829268292684,0.23076923076923078,0.4396551724137931,0.4331081081081081,82,403,232,1480,27,93,102,641,0.09849906191369606,0.006547064305684969,0.0919519976080111,cluster,PH908_primary,non_I2_excl_R1a,geography_plus_ovic_evic,binary
0.2804878048780488,0.07444168734491315,0.2629310344827586,0.3027027027027027,82,403,232,1480,23,30,61,448,0.20604611753313568,-0.0397716682199441,0.24581778575307978,cluster,PH908_primary,non_I2_excl_R1a,cloud_plus_suffix_ic,binary
0.13414634146341464,0.04466501240694789,0.09913793103448276,0.12297297297297298,82,403,232,1480,11,18,23,182,0.08948132905646675,-0.023835041938490217,0.11331637099495696,cluster,PH908_primary,non_I2_excl_R1a,cloud_plus_non_ovic_ic,binary
0.2804878048780488,0.07444168734491315,0.2629310344827586,0.3027027027027027,82,403,232,1480,23,30,61,448,0.20604611753313568,-0.0397716682199441,0.24581778575307978,cluster,PH908_primary,non_I2_excl_R1a,geo_cloud_suffix_triad,binary
0,0,0,0,82,403,232,1480,0,0,0,0,0,0,0,cluster,PH908_primary,non_I2_excl_R1a,elevation_ge_700,binary
0,0,0,0,82,403,232,1480,0,0,0,0,0,0,0,cluster,PH908_primary,non_I2_excl_R1a,elevation_ge_900,binary
0,0,0,0,82,403,232,1480,0,0,0,0,0,0,0,cluster,PH908_primary,non_I2_excl_R1a,elevation_resid_ge_100,binary
0,0,0,0,82,403,232,1480,0,0,0,0,0,0,0,cluster,PH908_primary,non_I2_excl_R1a,mountain_i2_near30,binary
0,0,0,0,82,403,232,1480,0,0,0,0,0,0,0,cluster,PH908_primary,non_I2_excl_R1a,mountain_cloud_i2,binary
0.6097560975609756,1,0,0,82,403,232,1480,50,403,0,0,-0.3902439024390244,0,-0.3902439024390244,cluster,PH908_primary,non_I2_excl_R1a,old_age_known,binary
0.036585365853658534,0.6401985111662531,0,0,82,403,232,1480,3,258,0,0,-0.6036131453125946,0,-0.6036131453125946,cluster,PH908_primary,non_I2_excl_R1a,age_ge_1500,binary
0.036585365853658534,0,0,0,82,403,232,1480,3,0,0,0,0.036585365853658534,0,0.036585365853658534,cluster,PH908_primary,non_I2_excl_R1a,age_ge_2000,binary
0.34146341463414637,0.1488833746898263,0.3535714285714286,0.3857677902621723,82,403,280,1869,28,60,99,721,0.19258003994432007,-0.03219636169074369,0.22477640163506377,cluster,PH908_primary,all_non_I2,other_i2_social,binary
0.6829268292682927,0.5037220843672456,0.7642857142857142,0.8421615837346175,82,403,280,1869,56,203,214,1574,0.1792047449010471,-0.07787586944890323,0.25708061434995033,cluster,PH908_primary,all_non_I2,other_i2_near_30km,binary
0.3902439024390244,0.25806451612903225,0.6285714285714286,0.6393793472445158,82,403,280,1869,32,104,176,1195,0.13217938630999215,-0.01080791867308728,0.14298730498307943,cluster,PH908_primary,all_non_I2,other_i2_dist_le_20,binary
0.9146341463414634,0.890818858560794,0.9464285714285714,0.9684323167469235,82,403,280,1869,75,359,265,1810,0.023815287780669436,-0.02200374531835214,0.04581903309902158,cluster,PH908_primary,all_non_I2,other_i2_dist_le_50,binary
0.2804878048780488,0.08684863523573201,0.30714285714285716,0.34724451578384163,82,403,280,1869,23,35,86,649,0.1936391696423168,-0.04010165864098447,0.23374082828330128,cluster,PH908_primary,all_non_I2,other_i2_cloud_social_spatial,binary
0.21951219512195122,0.10918114143920596,0.14285714285714285,0.13590155163188872,82,403,280,1869,18,44,40,254,0.11033105368274526,0.006955591225254132,0.10337546245749113,cluster,PH908_primary,all_non_I2,nonph_i2_social,binary
0.6341463414634146,0.4813895781637717,0.48928571428571427,0.5521669341894061,82,403,280,1869,52,194,137,1032,0.15275676329964294,-0.06288121990369183,0.21563798320333477,cluster,PH908_primary,all_non_I2,nonph_i2_near_30km,binary
0.17073170731707318,0.06699751861042183,0.09642857142857143,0.10593900481540931,82,403,280,1869,14,27,27,198,0.10373418870665135,-0.00951043338683788,0.11324462209348923,cluster,PH908_primary,all_non_I2,nonph_i2_cloud_social_spatial,binary
0.8658536585365854,0.7444168734491315,0.7821428571428571,0.8228999464954521,82,403,280,1869,71,300,219,1538,0.12143678508745381,-0.04075708935259492,0.16219387444004874,cluster,PH908_primary,all_non_I2,surname_ic,binary
0.5121951219512195,0.3945409429280397,0.5142857142857142,0.4756554307116105,82,403,280,1869,42,159,144,889,0.11765417902317982,0.03863028357410375,0.07902389544907606,cluster,PH908_primary,all_non_I2,surname_ovic_evic,binary
0.35365853658536583,0.34987593052109184,0.26785714285714285,0.34724451578384163,82,403,280,1869,29,141,75,649,0.0037826060642739967,-0.07938737292669878,0.08316997899097278,cluster,PH908_primary,all_non_I2,surname_non_ovic_ic,binary
